2019/5/8 上午 11:31:52	0.611779	2.403692	1.858407	0.848081	1.292401	0.871103	0.531696	2.365871	1.848211	3.043201	2.297628	0.333051	2.526200	1.819763	2.188931	57.950000
2019/5/8 上午 11:31:53	0.669005	2.701823	2.102272	0.894782	1.361959	0.960066	0.534821	2.219354	1.704983	2.916089	2.218039	0.364624	2.697219	1.826341	2.188931	57.950000
2019/5/8 上午 11:31:54	0.727710	2.941742	2.299766	0.940661	1.428887	1.043766	0.536629	2.100957	1.593821	2.799665	2.148809	0.404583	2.845051	1.830781	2.188931	57.950000
2019/5/8 上午 11:31:55	0.788225	3.133808	2.461740	0.984403	1.491868	1.122369	0.539589	2.002950	1.508641	2.693765	2.087473	0.449640	2.975288	1.835714	2.188931	57.950000
2019/5/8 上午 11:31:56	0.850219	3.285751	2.593785	1.025842	1.547613	1.196367	0.542549	1.922539	1.438425	2.600199	2.031892	0.500452	3.086614	1.841469	2.188931	57.950000
2019/5/8 上午 11:31:57	0.909747	3.407601	2.703796	1.067117	1.602537	1.262473	0.545016	1.853802	1.385475	2.516498	1.983217	0.555869	3.186100	1.846238	2.188931	57.950000
2019/5/8 上午 11:31:58	0.970425	3.507581	2.796047	1.103787	1.651869	1.329071	0.549949	1.796248	1.338938	2.444638	1.940627	0.614903	3.272596	1.850842	2.188931	57.950000
2019/5/8 上午 11:31:59	1.026664	3.587992	2.875801	1.140622	1.697912	1.388763	0.553074	1.745600	1.302103	2.379684	1.900997	0.676240	3.350705	1.853802	2.188931	57.950000
2019/5/8 上午 11:32:00	1.081588	3.654426	2.943551	1.173839	1.739845	1.444509	0.557514	1.702681	1.270201	2.320485	1.867780	0.740043	3.417468	1.858407	2.188931	57.950000
2019/5/8 上午 11:32:01	1.136182	3.710829	3.001105	1.206563	1.778159	1.498445	0.561131	1.666011	1.242740	2.270166	1.836372	0.806313	3.479791	1.861531	2.188931	57.950000
2019/5/8 上午 11:32:02	1.186665	3.758353	3.053232	1.237313	1.813514	1.548107	0.564584	1.633616	1.220211	2.225110	1.809239	0.872418	3.533234	1.865642	8.605091	58.060000
2019/5/8 上午 11:32:03	1.235998	3.797818	3.098125	1.265926	1.847389	1.591683	0.569189	1.603852	1.200478	2.183835	1.784737	0.937373	3.582566	1.868109	8.605091	58.060000
2019/5/8 上午 11:32:04	1.284672	3.833666	3.136439	1.292565	1.877482	1.637234	0.573300	1.578693	1.181074	2.148480	1.762538	1.003971	3.625485	1.872384	8.605091	58.060000
2019/5/8 上午 11:32:05	1.327591	3.866061	3.171465	1.318547	1.903628	1.679166	0.577575	1.556493	1.165617	2.116414	1.744285	1.068597	3.665773	1.874686	8.605091	58.060000
2019/5/8 上午 11:32:06	1.370182	3.894016	3.203202	1.342391	1.930761	1.717810	0.581029	1.536102	1.150982	2.087637	1.725703	1.131906	3.701785	1.877811	8.605091	58.060000
2019/5/8 上午 11:32:07	1.411292	3.918517	3.230664	1.366728	1.956578	1.753164	0.585469	1.517356	1.139800	2.060175	1.709423	1.193407	3.735002	1.880606	8.605091	58.060000
2019/5/8 上午 11:32:08	1.450922	3.940552	3.257303	1.388599	1.978120	1.787533	0.589251	1.500583	1.127467	2.037976	1.695775	1.254086	3.765095	1.883073	8.605091	58.060000
2019/5/8 上午 11:32:09	1.486935	3.960943	3.279502	1.409976	1.999003	1.821407	0.593197	1.485455	1.117765	2.015612	1.680810	1.311969	3.790583	1.887019	8.605091	58.060000
2019/5/8 上午 11:32:10	1.522454	3.978703	3.299564	1.429380	2.018736	1.852158	0.596651	1.472299	1.108391	1.995879	1.670615	1.366893	3.817387	1.889157	8.605091	58.060000
2019/5/8 上午 11:32:11	1.555506	3.995475	3.318639	1.448620	2.037318	1.881757	0.600762	1.460131	1.100498	1.977791	1.660420	1.420665	3.840737	1.891788	8.605091	58.060000
2019/5/8 上午 11:32:12	1.587572	4.010440	3.335248	1.466215	2.054584	1.909219	0.603393	1.448455	1.092770	1.962004	1.650224	1.471970	3.861292	1.894090	8.605091	58.060000
2019/5/8 上午 11:32:13	1.617994	4.023759	3.351363	1.483152	2.071029	1.935200	0.607339	1.438425	1.085863	1.947205	1.642002	1.521303	3.880367	1.896721	11.668810	58.080000
2019/5/8 上午 11:32:14	1.646113	4.036092	3.365176	1.499432	2.085499	1.959538	0.610464	1.428887	1.079943	1.933720	1.633945	1.568004	3.898456	1.899188	11.668810	58.080000
2019/5/8 上午 11:32:15	1.673740	4.047767	3.378002	1.515054	2.100299	1.983217	0.613424	1.420172	1.074188	1.921881	1.626381	1.612896	3.915229	1.901326	11.668810	58.080000
